	7393_RAJ6744A1	7393_RAJ6744A10	7393_RAJ6744A11	7393_RAJ6744A12	7393_RAJ6744A13	7393_RAJ6744A14	7393_RAJ6744A15	7393_RAJ6744A2	7393_RAJ6744A4	7393_RAJ6744A5	7393_RAJ6744A6	7393_RAJ6744A7	7393_RAJ6744A8	7393_RAJ6744A9
ENSG00000253732	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239951	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211611	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253578	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241294	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253202	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254098	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277852	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000244575	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244116	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253998	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243238	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253870	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242076	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253860	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253461	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253487	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239862	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253592	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242371	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273962	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283427	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283196	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276861	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283132	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283214	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000283659	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251039	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000251546	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254009	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000250036	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253127	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232747	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253501	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239975	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253191	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253999	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000243264	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242534	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224607	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254097	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241566	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254345	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253365	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225523	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211625	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253765	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254220	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211626	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000241244	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224041	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254292	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276566	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278857	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211632	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000253906	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000211633	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000242580	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239819	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228325	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275490	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270999	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000265897	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000281904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230964	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261600	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278131	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000143429	0	0	2	0	1	2	2	0	0	0	1	0	0	0
ENSG00000222835	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000184303	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230572	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271627	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223703	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232531	0	0	0	0	1	0	0	0	0	0	0	1	0	0
ENSG00000236969	0	0	0	0	0	0	0	0	0	1	2	0	0	0
ENSG00000235235	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214330	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227497	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000214329	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226481	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234898	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235147	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223816	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000261522	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259916	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237383	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227265	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213355	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234837	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232502	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235571	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229089	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000212140	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278631	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000259848	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000163060	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237055	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232128	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233158	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231331	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232594	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233105	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233447	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235186	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233850	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000172005	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231062	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144029	287	394	327	182	385	236	119	173	294	171	127	223	185	95
ENSG00000144026	32	34	27	33	24	19	22	6	43	15	46	21	9	8
ENSG00000275111	49	55	25	43	63	8	39	10	91	12	56	80	11	37
ENSG00000275768	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233757	8	7	0	5	8	2	5	1	10	1	1	6	0	1
ENSG00000155066	0	2	0	4	0	0	1	0	0	0	0	0	0	0
ENSG00000115041	0	4	0	1	0	1	0	0	0	0	0	0	0	0
ENSG00000235129	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115042	15	24	22	10	47	29	9	25	24	24	11	28	27	7
ENSG00000248821	1	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000233275	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227120	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204705	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000277747	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234903	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144010	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000238162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000223917	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237308	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224719	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226185	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272913	1	0	0	0	0	0	0	0	6	0	0	2	0	0
ENSG00000229689	0	0	0	0	0	0	0	0	1	0	0	2	0	0
ENSG00000236431	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273305	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233037	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168992	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232717	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274028	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230083	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236026	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271003	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270193	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204699	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275497	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235959	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236750	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235584	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237510	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000232931	1	1	0	4	1	0	0	4	6	2	19	2	1	4
ENSG00000174501	4	3	2	0	0	0	0	2	9	0	10	3	0	3
ENSG00000275961	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231584	6	4	3	0	2	1	0	6	6	1	2	0	2	1
ENSG00000186281	8	3	1	0	2	1	0	7	5	4	4	2	2	0
ENSG00000274286	0	14	4	3	1	0	0	3	1	0	0	0	0	0
ENSG00000188886	0	0	1	0	0	3	0	4	0	5	0	0	0	0
ENSG00000158050	6	20	6181	411	9	2295	73	4269	12	5870	281	16	4897	311
ENSG00000228873	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSG00000084090	4687	4368	1741	1449	5548	2345	1455	1424	5349	1270	2239	4154	1363	1484
ENSG00000204685	16	15	11	14	8	15	14	3	33	2	12	15	5	5
ENSG00000135956	2215	3702	2534	3111	2554	1322	2604	1498	3197	1516	4777	3875	1763	5263
ENSG00000144021	754	970	739	524	909	476	373	282	691	274	366	652	372	324
ENSG00000144028	1638	2754	2410	1915	1763	1017	923	1350	2466	1478	2476	2066	1603	2307
ENSG00000230747	0	2	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198885	11	28	4	9	6	4	7	0	10	0	4	6	0	4
ENSG00000121152	280	266	161	32	285	127	21	84	192	52	49	113	73	23
ENSG00000163121	0	0	107	3	0	13	3	212	0	134	0	0	157	0
ENSG00000235480	0	0	0	0	0	0	0	0	0	0	0	0	2	0
ENSG00000196843	19	136	278	41	38	43	29	252	33	206	7	34	336	43
ENSG00000114982	377	384	478	500	264	185	331	207	462	194	708	416	203	778
ENSG00000249715	0	0	1	1	0	0	0	0	1	0	1	0	0	0
ENSG00000114988	173	123	101	146	170	75	199	68	149	53	163	177	63	156
ENSG00000158158	84	110	107	238	51	49	148	52	109	66	508	104	120	454
ENSG00000264157	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273265	0	0	0	1	1	0	0	0	0	0	1	1	0	0
ENSG00000168763	69	49	22	58	28	22	36	24	80	15	88	50	32	124
ENSG00000163126	6	18	10	22	15	4	20	6	24	5	17	7	5	12
ENSG00000213337	3	24	23	24	20	12	27	5	24	10	8	11	7	5
ENSG00000168758	2	601	46	351	99	11	279	0	6	3	40	1	0	32
ENSG00000168754	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000274206	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000252845	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275094	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273634	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000248134	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144188	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230343	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236847	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270748	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271402	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204670	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000188383	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144199	2	0	1	3	0	2	3	1	1	0	0	1	0	1
ENSG00000279791	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000275655	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135976	5	0	6	1	1	5	3	3	1	1	3	2	4	3
ENSG00000277701	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237837	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271351	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000276050	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271015	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270252	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000271569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270450	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000278537	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270187	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230606	0	0	0	0	0	0	0	0	1	1	0	0	0	0
ENSG00000278766	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196912	1	1	3	0	0	3	1	1	3	1	2	1	0	1
ENSG00000235833	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228970	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135940	223	603	556	313	615	584	333	162	200	163	110	192	153	114
ENSG00000115073	78	115	134	57	78	67	35	96	123	108	63	126	106	71
ENSG00000228486	1	0	4	2	0	0	0	7	1	8	3	2	0	2
ENSG00000201806	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115085	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000075568	757	915	1255	1013	650	528	592	652	1233	687	1831	931	645	1924
ENSG00000235734	4	30	0	1	9	7	2	4	4	3	4	4	3	7
ENSG00000238719	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000168658	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000231635	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000222000	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144191	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227987	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000040933	274	486	341	385	231	134	306	143	397	133	384	391	246	253
ENSG00000183513	99	113	67	54	172	71	73	34	72	22	47	85	24	36
ENSG00000115446	290	383	226	378	560	260	409	105	297	81	325	309	188	340
ENSG00000071073	3298	3244	1886	1143	1563	877	477	1089	3815	1065	2152	2681	1337	964
ENSG00000236564	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226791	30	25	7	3	1	1	4	5	41	5	15	16	4	9
ENSG00000201070	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196872	11	42	0	3	16	0	1	0	11	1	2	8	0	3
ENSG00000238830	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135951	9	11	15	5	4	1	5	7	7	6	18	1	7	10
ENSG00000231822	25	15	3	9	5	5	8	3	36	1	3	15	9	7
ENSG00000241962	240	176	104	132	259	158	172	103	189	60	104	143	117	94
ENSG00000273045	2	2	0	1	1	1	0	1	0	0	0	2	0	0
ENSG00000144182	26	16	0	18	15	4	7	3	16	0	14	25	4	32
ENSG00000273155	89	59	32	31	78	49	40	38	79	21	26	46	39	30
ENSG00000158411	70	92	52	85	143	94	122	43	67	39	66	66	52	86
ENSG00000185414	537	355	248	195	355	269	202	240	532	215	178	321	180	141
ENSG00000185674	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000144214	0	0	2	1	1	0	0	0	1	0	0	0	0	1
ENSG00000115514	429	354	359	298	550	339	342	201	328	130	252	317	194	243
ENSG00000158417	1988	905	841	547	564	410	192	1358	2490	1418	931	1497	1168	508
ENSG00000135945	240	189	182	149	146	61	77	87	274	128	267	218	129	184
ENSG00000273306	3	1	0	0	4	1	1	0	2	0	3	0	3	0
ENSG00000144218	18	42	26	2	35	16	6	9	10	8	2	12	5	9
ENSG00000230393	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232084	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170500	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269383	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000270699	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115526	25	144	24	16	111	20	38	1	28	2	5	37	3	9
ENSG00000238029	6	6	0	4	6	4	4	3	11	5	12	6	4	7
ENSG00000204640	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000204637	9	8	0	4	4	8	7	3	15	7	7	10	7	9
ENSG00000115539	120	57	71	80	139	92	70	64	86	58	62	87	92	62
ENSG00000227259	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234988	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226034	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234169	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228488	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000170485	0	26	32	67	11	7	36	0	0	1	4	0	1	3
ENSG00000232034	0	0	1	0	0	1	0	0	0	0	0	0	0	0
ENSG00000230140	0	3	0	2	0	0	0	0	0	0	0	0	0	0
ENSG00000223947	0	3	2	6	0	2	5	0	1	1	1	0	0	1
ENSG00000071082	2510	6308	6249	1799	9474	9744	2036	1497	1872	923	604	1666	1288	539
ENSG00000204634	719	359	461	1047	186	166	676	468	811	375	640	1355	1040	1441
ENSG00000271532	0	0	2	5	1	0	2	2	0	1	3	1	2	4
ENSG00000272902	6	2	0	3	2	0	1	1	8	2	4	6	1	10
ENSG00000158435	805	776	560	620	995	551	679	265	820	232	633	686	284	617
ENSG00000163162	1382	2419	1908	1838	2128	1179	2160	2976	1208	1691	1231	1609	2664	2403
ENSG00000212283	4	4	15	9	6	12	9	21	15	6	21	4	10	8
ENSG00000264857	1	0	0	0	0	0	0	5	0	0	0	1	3	0
ENSG00000175874	2	11	5	3	4	0	0	2	3	1	3	11	3	2
ENSG00000226058	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000196460	0	0	2	3	0	0	6	1	0	1	7	1	0	5
ENSG00000223826	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000237549	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232556	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000071054	1009	3110	4107	2049	2192	1658	1247	3106	2245	3750	2105	1384	1377	1862
ENSG00000281162	3	1	0	3	1	0	2	0	6	0	3	6	0	5
ENSG00000115590	916	4	14	11	8	11	4	435	1572	695	33	1705	804	3
ENSG00000115594	285	42	668	49	154	251	50	1403	597	1250	249	786	1794	1072
ENSG00000226925	2	2	3	0	4	3	2	22	10	14	3	8	32	14
ENSG00000115598	14	5	1	0	3	0	0	2	13	0	0	14	2	3
ENSG00000205716	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115602	0	0	26	5	1	11	1	0	0	0	0	0	0	0
ENSG00000115604	8	4	493	9	40	544	38	129	0	30	1	1	21	6
ENSG00000236785	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115607	0	0	14	1	0	36	0	64	0	15	0	0	9	0
ENSG00000264764	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236525	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234389	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000180251	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000115616	2	6	9	2	0	0	0	1	2	0	0	0	0	1
ENSG00000135953	46	112	58	153	99	42	113	23	75	14	61	78	20	138
ENSG00000170417	15	26	16	12	25	20	23	4	21	4	10	13	9	10
ENSG00000277527	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224095	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227680	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227623	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236596	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000221849	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231723	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000232597	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236141	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000256637	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273515	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228968	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233955	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227157	0	0	0	0	0	0	0	1	0	1	0	0	0	0
ENSG00000225765	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235597	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234781	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231626	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000236109	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230690	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225669	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228528	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000279904	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000207249	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000234177	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000213301	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233639	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000269707	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000198914	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000239587	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229743	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224509	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135972	97	103	61	61	75	53	44	48	106	49	64	101	60	33
ENSG00000231851	7	14	13	10	5	3	2	1	15	10	7	9	6	6
ENSG00000226508	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000135973	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000272861	0	2	2	2	0	2	0	1	0	0	0	1	0	0
ENSG00000135966	436	400	154	204	297	83	112	101	688	83	216	492	117	179
ENSG00000235319	2	0	0	0	0	0	0	0	0	0	2	0	0	0
ENSG00000272994	2	4	0	6	3	0	1	1	2	1	6	0	0	5
ENSG00000135974	151	143	126	113	180	116	102	86	158	58	196	114	69	126
ENSG00000115641	1	16	52	24	53	73	80	0	0	4	2	3	2	3
ENSG00000238273	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ENSG00000071051	95	300	347	119	312	201	148	96	82	123	140	120	94	166
ENSG00000235522	16	55	47	23	51	25	30	19	11	10	22	13	10	19
ENSG00000234162	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000119147	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115652	404	219	1810	1021	328	514	772	447	320	363	1049	351	384	1207
ENSG00000233339	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000273595	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ENSG00000213295	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000224061	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000230353	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233939	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227513	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229682	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000235486	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000240935	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000153165	1	3	0	1	3	0	0	0	1	0	1	3	0	0
ENSG00000237666	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000254126	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000231505	0	0	0	0	0	0	0	0	0	0	0	0	0	0
